Round,Player0_Decision,Player1_Decision,Player0_Score,Player1_Score,Player0_Total,Player1_Total
1,defect,defect,3,3,3,3
2,defect,defect,3,3,6,6
3,defect,defect,3,3,9,9
4,defect,defect,3,3,12,12
5,defect,defect,3,3,15,15
6,defect,defect,3,3,18,18
7,defect,defect,3,3,21,21
8,defect,defect,3,3,24,24
9,defect,defect,3,3,27,27
10,defect,defect,3,3,30,30
Round,Player0_Decision,Player1_Decision,Player0_Score,Player1_Score,Player0_Total,Player1_Total
1,defect,defect,3,3,3,3
2,defect,defect,3,3,6,6
3,defect,defect,3,3,9,9
4,defect,defect,3,3,12,12
5,defect,defect,3,3,15,15
6,defect,defect,3,3,18,18
7,defect,defect,3,3,21,21
8,defect,defect,3,3,24,24
9,defect,defect,3,3,27,27
10,defect,defect,3,3,30,30
Round,Player0_Decision,Player1_Decision,Player0_Score,Player1_Score,Player0_Total,Player1_Total
1,defect,defect,3,3,3,3
2,defect,defect,3,3,6,6
3,defect,defect,3,3,9,9
4,defect,defect,3,3,12,12
5,defect,defect,3,3,15,15
6,defect,defect,3,3,18,18
7,defect,defect,3,3,21,21
8,defect,defect,3,3,24,24
9,defect,defect,3,3,27,27
10,cooperate,defect,5,0,32,27
Round,Player0_Decision,Player1_Decision,Player0_Score,Player1_Score,Player0_Total,Player1_Total
1,defect,defect,3,3,3,3
2,defect,defect,3,3,6,6
3,defect,defect,3,3,9,9
4,defect,defect,3,3,12,12
5,defect,defect,3,3,15,15
6,defect,defect,3,3,18,18
7,defect,defect,3,3,21,21
8,defect,defect,3,3,24,24
9,defect,defect,3,3,27,27
10,defect,defect,3,3,30,30
Round,Player0_Decision,Player1_Decision,Player0_Score,Player1_Score,Player0_Total,Player1_Total
1,defect,defect,3,3,3,3
2,defect,defect,3,3,6,6
3,defect,defect,3,3,9,9
4,defect,defect,3,3,12,12
5,defect,defect,3,3,15,15
6,defect,defect,3,3,18,18
7,defect,defect,3,3,21,21
8,defect,defect,3,3,24,24
9,defect,defect,3,3,27,27
10,defect,defect,3,3,30,30
Round,Player0_Decision,Player1_Decision,Player0_Score,Player1_Score,Player0_Total,Player1_Total
1,defect,defect,3,3,3,3
2,defect,defect,3,3,6,6
3,defect,defect,3,3,9,9
4,defect,defect,3,3,12,12
5,defect,defect,3,3,15,15
6,defect,defect,3,3,18,18
7,defect,defect,3,3,21,21
8,defect,defect,3,3,24,24
9,defect,defect,3,3,27,27
10,defect,defect,3,3,30,30
Round,Player0_Decision,Player1_Decision,Player0_Score,Player1_Score,Player0_Total,Player1_Total
1,defect,defect,3,3,3,3
2,defect,defect,3,3,6,6
3,defect,defect,3,3,9,9
4,defect,defect,3,3,12,12
5,defect,defect,3,3,15,15
6,defect,defect,3,3,18,18
7,defect,defect,3,3,21,21
8,defect,defect,3,3,24,24
9,defect,defect,3,3,27,27
10,defect,defect,3,3,30,30
Round,Player0_Decision,Player1_Decision,Player0_Score,Player1_Score,Player0_Total,Player1_Total
1,defect,defect,3,3,3,3
2,defect,defect,3,3,6,6
3,defect,defect,3,3,9,9
4,defect,defect,3,3,12,12
5,defect,defect,3,3,15,15
6,defect,defect,3,3,18,18
7,defect,defect,3,3,21,21
8,defect,defect,3,3,24,24
9,defect,defect,3,3,27,27
10,defect,defect,3,3,30,30
Round,Player0_Decision,Player1_Decision,Player0_Score,Player1_Score,Player0_Total,Player1_Total
1,defect,defect,3,3,3,3
2,defect,defect,3,3,6,6
3,defect,defect,3,3,9,9
4,defect,defect,3,3,12,12
5,defect,defect,3,3,15,15
6,defect,defect,3,3,18,18
7,defect,defect,3,3,21,21
8,defect,defect,3,3,24,24
9,defect,defect,3,3,27,27
10,defect,defect,3,3,30,30
Round,Player0_Decision,Player1_Decision,Player0_Score,Player1_Score,Player0_Total,Player1_Total
1,defect,defect,3,3,3,3
2,cooperate,defect,5,0,8,3
3,defect,defect,3,3,11,6
4,cooperate,defect,5,0,16,6
5,defect,defect,3,3,19,9
6,defect,cooperate,0,5,19,14
7,defect,defect,3,3,22,17
8,defect,defect,3,3,25,20
9,defect,cooperate,0,5,25,25
10,defect,defect,3,3,28,28
11,defect,defect,3,3,31,31
12,defect,defect,3,3,34,34
13,defect,defect,3,3,37,37
14,defect,cooperate,0,5,37,42
15,defect,defect,3,3,40,45
16,cooperate,defect,5,0,45,45
17,defect,defect,3,3,48,48
18,defect,defect,3,3,51,51
19,defect,defect,3,3,54,54
20,defect,defect,3,3,57,57
21,defect,defect,3,3,60,60
22,cooperate,cooperate,1,1,61,61
23,cooperate,cooperate,1,1,62,62
24,defect,defect,3,3,65,65
25,defect,defect,3,3,68,68
26,defect,defect,3,3,71,71
27,defect,defect,3,3,74,74
28,cooperate,defect,5,0,79,74
29,defect,defect,3,3,82,77
30,defect,cooperate,0,5,82,82
31,defect,defect,3,3,85,85
32,defect,defect,3,3,88,88
33,defect,defect,3,3,91,91
34,defect,defect,3,3,94,94
35,defect,defect,3,3,97,97
36,cooperate,defect,5,0,102,97
37,defect,defect,3,3,105,100
38,defect,defect,3,3,108,103
39,defect,defect,3,3,111,106
40,defect,cooperate,0,5,111,111
41,defect,defect,3,3,114,114
42,defect,defect,3,3,117,117
43,defect,defect,3,3,120,120
44,defect,defect,3,3,123,123
45,defect,defect,3,3,126,126
46,defect,defect,3,3,129,129
47,defect,cooperate,0,5,129,134
48,cooperate,defect,5,0,134,134
49,defect,defect,3,3,137,137
50,defect,defect,3,3,140,140
